attendance_id,member_id,class_id,attended,member_name,age,gender,membership_type,is_active,class_name,difficulty,trainer_id,schedule_time,trainer_name,specialty,experience_years,payment_id,amount,method
25,38,13,1,Megan Joyce,22,Male,Monthly,1,CrossFit WOD,Intermediate,6,45:45.2,Connie Lawrence,Zumba,13,73,2100,Card
25,38,13,1,Megan Joyce,22,Male,Monthly,1,CrossFit WOD,Intermediate,6,45:45.2,Connie Lawrence,Zumba,13,74,2100,Card
26,49,20,1,Sarah Moore,44,Male,Monthly,0,Pilates Core,Beginner,9,47:12.1,Gabrielle Davis,Strength,2,93,7500,Transfer
26,49,20,1,Sarah Moore,44,Male,Monthly,0,Pilates Core,Beginner,9,47:12.1,Gabrielle Davis,Strength,2,94,2100,Cash
27,131,5,1,Hannah Patterson,31,Male,Quarterly,1,Pilates Core,Intermediate,1,47:07.4,Allison Hill,Zumba,3,268,800,Wallet
27,131,5,1,Hannah Patterson,31,Male,Quarterly,1,Pilates Core,Intermediate,1,47:07.4,Allison Hill,Zumba,3,269,2100,Card
28,18,9,1,Alexandra Le,21,Male,Monthly,1,CrossFit WOD,Advanced,8,46:31.4,Gina Moore,Pilates,8,39,800,Transfer
29,198,14,1,Jessica Fox,35,Male,Monthly,0,Zumba Dance,Beginner,3,47:29.5,Angie Henderson,Cardio,5,401,7500,Card
29,198,14,1,Jessica Fox,35,Male,Monthly,0,Zumba Dance,Beginner,3,47:29.5,Angie Henderson,Cardio,5,402,7500,Cash
29,198,14,1,Jessica Fox,35,Male,Monthly,0,Zumba Dance,Beginner,3,47:29.5,Angie Henderson,Cardio,5,403,7500,Transfer
30,88,17,1,Cameron Fisher,41,Male,Quarterly,0,Pilates Core,Beginner,8,44:34.2,Gina Moore,Pilates,8,176,2100,Card
30,88,17,1,Cameron Fisher,41,Male,Quarterly,0,Pilates Core,Beginner,8,44:34.2,Gina Moore,Pilates,8,177,7500,Wallet
31,69,1,1,Stephanie Clark,44,Female,Quarterly,0,Zumba Dance,Intermediate,5,46:07.4,Cristian Santos,Zumba,3,136,800,Card
31,69,1,1,Stephanie Clark,44,Female,Quarterly,0,Zumba Dance,Intermediate,5,46:07.4,Cristian Santos,Zumba,3,137,7500,Wallet
31,69,1,1,Stephanie Clark,44,Female,Quarterly,0,Zumba Dance,Intermediate,5,46:07.4,Cristian Santos,Zumba,3,138,7500,Transfer
32,73,10,1,Evelyn Galvan,22,Male,Yearly,1,Cardio Blast,Beginner,10,47:12.1,Ryan Munoz,Strength,5,147,7500,Card
32,73,10,1,Evelyn Galvan,22,Male,Yearly,1,Cardio Blast,Beginner,10,47:12.1,Ryan Munoz,Strength,5,148,7500,Transfer
33,151,19,1,William Tran,25,Male,Quarterly,0,Cardio Blast,Beginner,7,45:46.1,Abigail Shaffer,Pilates,3,313,7500,Card
34,169,16,1,Terri Mason,48,Female,Quarterly,0,Cardio Blast,Advanced,7,46:26.8,Abigail Shaffer,Pilates,3,345,800,Transfer
34,169,16,1,Terri Mason,48,Female,Quarterly,0,Cardio Blast,Advanced,7,46:26.8,Abigail Shaffer,Pilates,3,346,800,Wallet
34,169,16,1,Terri Mason,48,Female,Quarterly,0,Cardio Blast,Advanced,7,46:26.8,Abigail Shaffer,Pilates,3,347,800,Card
35,39,15,1,Gerald Hensley,53,Male,Quarterly,1,Cardio Blast,Intermediate,8,47:57.1,Gina Moore,Pilates,8,75,7500,Wallet
35,39,15,1,Gerald Hensley,53,Male,Quarterly,1,Cardio Blast,Intermediate,8,47:57.1,Gina Moore,Pilates,8,76,7500,Wallet
36,138,16,1,Leonard Gray,42,Female,Yearly,1,Cardio Blast,Advanced,7,46:26.8,Abigail Shaffer,Pilates,3,284,800,Wallet
36,138,16,1,Leonard Gray,42,Female,Yearly,1,Cardio Blast,Advanced,7,46:26.8,Abigail Shaffer,Pilates,3,285,2100,Cash
37,89,11,1,Stephanie Gilbert,33,Male,Quarterly,1,CrossFit WOD,Advanced,8,42:10.9,Gina Moore,Pilates,8,178,800,Wallet
38,142,18,1,Peter Vaughn DDS,34,Female,Quarterly,0,Yoga Flow,Intermediate,5,42:33.4,Cristian Santos,Zumba,3,293,2100,Wallet
38,142,18,1,Peter Vaughn DDS,34,Female,Quarterly,0,Yoga Flow,Intermediate,5,42:33.4,Cristian Santos,Zumba,3,294,7500,Transfer
39,97,15,1,Cheyenne Horton,22,Female,Quarterly,1,Cardio Blast,Intermediate,8,47:57.1,Gina Moore,Pilates,8,195,2100,Transfer
40,83,7,1,Dawn Fletcher,18,Female,Monthly,1,Pilates Core,Beginner,5,43:52.0,Cristian Santos,Zumba,3,167,7500,Card
41,179,8,1,Jennifer Robertson,37,Male,Yearly,0,Pilates Core,Beginner,3,46:16.7,Angie Henderson,Cardio,5,364,2100,Cash
41,179,8,1,Jennifer Robertson,37,Male,Yearly,0,Pilates Core,Beginner,3,46:16.7,Angie Henderson,Cardio,5,365,800,Cash
42,147,13,1,Joshua Gill,20,Male,Monthly,0,CrossFit WOD,Intermediate,6,45:45.2,Connie Lawrence,Zumba,13,303,7500,Card
42,147,13,1,Joshua Gill,20,Male,Monthly,0,CrossFit WOD,Intermediate,6,45:45.2,Connie Lawrence,Zumba,13,304,2100,Wallet
43,60,14,1,Teresa Taylor,42,Male,Quarterly,1,Zumba Dance,Beginner,3,47:29.5,Angie Henderson,Cardio,5,115,7500,Wallet
43,60,14,1,Teresa Taylor,42,Male,Quarterly,1,Zumba Dance,Beginner,3,47:29.5,Angie Henderson,Cardio,5,116,7500,Wallet
43,60,14,1,Teresa Taylor,42,Male,Quarterly,1,Zumba Dance,Beginner,3,47:29.5,Angie Henderson,Cardio,5,117,7500,Transfer
44,12,11,1,Thomas Ellis,32,Male,Quarterly,1,CrossFit WOD,Advanced,8,42:10.9,Gina Moore,Pilates,8,26,2100,Transfer
44,12,11,1,Thomas Ellis,32,Male,Quarterly,1,CrossFit WOD,Advanced,8,42:10.9,Gina Moore,Pilates,8,27,800,Wallet
45,191,16,1,Diane Evans,34,Male,Monthly,0,Cardio Blast,Advanced,7,46:26.8,Abigail Shaffer,Pilates,3,389,2100,Wallet
46,181,13,1,Peter Garrett,26,Female,Monthly,0,CrossFit WOD,Intermediate,6,45:45.2,Connie Lawrence,Zumba,13,368,800,Card
47,99,5,1,Ashley Coleman,34,Male,Yearly,1,Pilates Core,Intermediate,1,47:07.4,Allison Hill,Zumba,3,197,2100,Cash
47,99,5,1,Ashley Coleman,34,Male,Yearly,1,Pilates Core,Intermediate,1,47:07.4,Allison Hill,Zumba,3,198,2100,Wallet
48,127,2,1,Alexander Collins,33,Female,Quarterly,0,Pilates Core,Advanced,8,45:51.9,Gina Moore,Pilates,8,257,7500,Wallet
48,127,2,1,Alexander Collins,33,Female,Quarterly,0,Pilates Core,Advanced,8,45:51.9,Gina Moore,Pilates,8,258,800,Wallet
48,127,2,1,Alexander Collins,33,Female,Quarterly,0,Pilates Core,Advanced,8,45:51.9,Gina Moore,Pilates,8,259,800,Card
49,33,17,1,Mark Perez,37,Male,Monthly,1,Pilates Core,Beginner,8,44:34.2,Gina Moore,Pilates,8,62,800,Cash
49,33,17,1,Mark Perez,37,Male,Monthly,1,Pilates Core,Beginner,8,44:34.2,Gina Moore,Pilates,8,63,800,Cash
49,33,17,1,Mark Perez,37,Male,Monthly,1,Pilates Core,Beginner,8,44:34.2,Gina Moore,Pilates,8,64,7500,Wallet
50,152,11,1,Sean Henry,55,Male,Quarterly,1,CrossFit WOD,Advanced,8,42:10.9,Gina Moore,Pilates,8,314,7500,Card
51,26,15,1,Shawn Arroyo,28,Female,Yearly,0,Cardio Blast,Intermediate,8,47:57.1,Gina Moore,Pilates,8,51,7500,Card
52,26,17,1,Shawn Arroyo,28,Female,Yearly,0,Pilates Core,Beginner,8,44:34.2,Gina Moore,Pilates,8,51,7500,Card
53,117,1,1,Justin Johnson,20,Male,Quarterly,0,Zumba Dance,Intermediate,5,46:07.4,Cristian Santos,Zumba,3,236,7500,Card
54,185,5,1,Willie Durham,43,Female,Monthly,0,Pilates Core,Intermediate,1,47:07.4,Allison Hill,Zumba,3,375,800,Card
54,185,5,1,Willie Durham,43,Female,Monthly,0,Pilates Core,Intermediate,1,47:07.4,Allison Hill,Zumba,3,376,7500,Card
55,105,5,1,Mark Cannon,38,Male,Yearly,1,Pilates Core,Intermediate,1,47:07.4,Allison Hill,Zumba,3,210,7500,Cash
56,20,16,1,Jesse Mckay,54,Female,Monthly,1,Cardio Blast,Advanced,7,46:26.8,Abigail Shaffer,Pilates,3,41,7500,Card
56,20,16,1,Jesse Mckay,54,Female,Monthly,1,Cardio Blast,Advanced,7,46:26.8,Abigail Shaffer,Pilates,3,42,7500,Cash
57,68,11,1,Eric Nolan,55,Male,Yearly,0,CrossFit WOD,Advanced,8,42:10.9,Gina Moore,Pilates,8,134,7500,Transfer
57,68,11,1,Eric Nolan,55,Male,Yearly,0,CrossFit WOD,Advanced,8,42:10.9,Gina Moore,Pilates,8,135,7500,Cash
58,160,13,1,Natalie Meza,52,Female,Quarterly,1,CrossFit WOD,Intermediate,6,45:45.2,Connie Lawrence,Zumba,13,325,2100,Transfer
58,160,13,1,Natalie Meza,52,Female,Quarterly,1,CrossFit WOD,Intermediate,6,45:45.2,Connie Lawrence,Zumba,13,326,800,Wallet
59,167,3,1,Christopher Parker,51,Male,Monthly,0,CrossFit WOD,Beginner,10,47:04.6,Ryan Munoz,Strength,5,340,800,Cash
59,167,3,1,Christopher Parker,51,Male,Monthly,0,CrossFit WOD,Beginner,10,47:04.6,Ryan Munoz,Strength,5,341,7500,Wallet
60,85,18,1,Helen Jones,53,Male,Monthly,0,Yoga Flow,Intermediate,5,42:33.4,Cristian Santos,Zumba,3,170,2100,Wallet
60,85,18,1,Helen Jones,53,Male,Monthly,0,Yoga Flow,Intermediate,5,42:33.4,Cristian Santos,Zumba,3,171,7500,Cash
61,98,11,1,Matthew Smith,52,Female,Monthly,0,CrossFit WOD,Advanced,8,42:10.9,Gina Moore,Pilates,8,196,2100,Wallet
62,161,16,1,Matthew Moore,55,Female,Quarterly,0,Cardio Blast,Advanced,7,46:26.8,Abigail Shaffer,Pilates,3,327,2100,Card
62,161,16,1,Matthew Moore,55,Female,Quarterly,0,Cardio Blast,Advanced,7,46:26.8,Abigail Shaffer,Pilates,3,328,7500,Card
63,139,2,1,Catherine Lewis,28,Female,Monthly,0,Pilates Core,Advanced,8,45:51.9,Gina Moore,Pilates,8,286,800,Cash
64,159,3,1,Wanda Torres,27,Female,Monthly,1,CrossFit WOD,Beginner,10,47:04.6,Ryan Munoz,Strength,5,324,800,Wallet
65,61,10,1,Juan Nelson,47,Female,Quarterly,1,Cardio Blast,Beginner,10,47:12.1,Ryan Munoz,Strength,5,118,7500,Wallet
65,61,10,1,Juan Nelson,47,Female,Quarterly,1,Cardio Blast,Beginner,10,47:12.1,Ryan Munoz,Strength,5,119,2100,Cash
65,61,10,1,Juan Nelson,47,Female,Quarterly,1,Cardio Blast,Beginner,10,47:12.1,Ryan Munoz,Strength,5,120,2100,Wallet
66,59,3,1,Aimee Montoya,31,Female,Monthly,0,CrossFit WOD,Beginner,10,47:04.6,Ryan Munoz,Strength,5,113,7500,Wallet
66,59,3,1,Aimee Montoya,31,Female,Monthly,0,CrossFit WOD,Beginner,10,47:04.6,Ryan Munoz,Strength,5,114,800,Transfer
67,112,4,1,Paul Castaneda,47,Female,Quarterly,0,Yoga Flow,Intermediate,6,47:04.8,Connie Lawrence,Zumba,13,224,2100,Cash
67,112,4,1,Paul Castaneda,47,Female,Quarterly,0,Yoga Flow,Intermediate,6,47:04.8,Connie Lawrence,Zumba,13,225,2100,Wallet
67,112,4,1,Paul Castaneda,47,Female,Quarterly,0,Yoga Flow,Intermediate,6,47:04.8,Connie Lawrence,Zumba,13,226,800,Card
68,195,4,1,Patrick Thornton,36,Female,Monthly,0,Yoga Flow,Intermediate,6,47:04.8,Connie Lawrence,Zumba,13,396,7500,Transfer
68,195,4,1,Patrick Thornton,36,Female,Monthly,0,Yoga Flow,Intermediate,6,47:04.8,Connie Lawrence,Zumba,13,397,7500,Card
69,114,6,1,Daniel Graham,23,Female,Yearly,1,Yoga Flow,Beginner,10,44:14.8,Ryan Munoz,Strength,5,230,800,Cash
69,114,6,1,Daniel Graham,23,Female,Yearly,1,Yoga Flow,Beginner,10,44:14.8,Ryan Munoz,Strength,5,231,2100,Cash
69,114,6,1,Daniel Graham,23,Female,Yearly,1,Yoga Flow,Beginner,10,44:14.8,Ryan Munoz,Strength,5,232,2100,Transfer
70,178,10,1,Jordan Edwards,36,Male,Quarterly,0,Cardio Blast,Beginner,10,47:12.1,Ryan Munoz,Strength,5,362,7500,Card
70,178,10,1,Jordan Edwards,36,Male,Quarterly,0,Cardio Blast,Beginner,10,47:12.1,Ryan Munoz,Strength,5,363,7500,Transfer
71,8,2,1,William Bowman,52,Male,Quarterly,0,Pilates Core,Advanced,8,45:51.9,Gina Moore,Pilates,8,17,2100,Wallet
71,8,2,1,William Bowman,52,Male,Quarterly,0,Pilates Core,Advanced,8,45:51.9,Gina Moore,Pilates,8,18,2100,Transfer
71,8,2,1,William Bowman,52,Male,Quarterly,0,Pilates Core,Advanced,8,45:51.9,Gina Moore,Pilates,8,19,800,Card
72,84,2,1,Kimberly Ball,28,Female,Yearly,1,Pilates Core,Advanced,8,45:51.9,Gina Moore,Pilates,8,168,7500,Transfer
72,84,2,1,Kimberly Ball,28,Female,Yearly,1,Pilates Core,Advanced,8,45:51.9,Gina Moore,Pilates,8,169,2100,Card
73,76,12,1,Julia Torres,52,Female,Yearly,0,Yoga Flow,Intermediate,6,42:22.6,Connie Lawrence,Zumba,13,153,2100,Cash
74,96,14,1,Samuel Jones,30,Female,Quarterly,1,Zumba Dance,Beginner,3,47:29.5,Angie Henderson,Cardio,5,192,800,Card
74,96,14,1,Samuel Jones,30,Female,Quarterly,1,Zumba Dance,Beginner,3,47:29.5,Angie Henderson,Cardio,5,193,800,Transfer
74,96,14,1,Samuel Jones,30,Female,Quarterly,1,Zumba Dance,Beginner,3,47:29.5,Angie Henderson,Cardio,5,194,2100,Card
75,38,8,1,Megan Joyce,22,Male,Monthly,1,Pilates Core,Beginner,3,46:16.7,Angie Henderson,Cardio,5,73,2100,Card
75,38,8,1,Megan Joyce,22,Male,Monthly,1,Pilates Core,Beginner,3,46:16.7,Angie Henderson,Cardio,5,74,2100,Card
76,136,14,1,Nicholas Adams,52,Male,Quarterly,0,Zumba Dance,Beginner,3,47:29.5,Angie Henderson,Cardio,5,280,2100,Transfer
77,145,6,1,Patrick Rivera,48,Male,Yearly,0,Yoga Flow,Beginner,10,44:14.8,Ryan Munoz,Strength,5,299,800,Cash
77,145,6,1,Patrick Rivera,48,Male,Yearly,0,Yoga Flow,Beginner,10,44:14.8,Ryan Munoz,Strength,5,300,2100,Transfer
77,145,6,1,Patrick Rivera,48,Male,Yearly,0,Yoga Flow,Beginner,10,44:14.8,Ryan Munoz,Strength,5,301,2100,Card
78,44,6,1,Mr. James Brown,55,Male,Monthly,0,Yoga Flow,Beginner,10,44:14.8,Ryan Munoz,Strength,5,85,7500,Wallet
78,44,6,1,Mr. James Brown,55,Male,Monthly,0,Yoga Flow,Beginner,10,44:14.8,Ryan Munoz,Strength,5,86,800,Card
79,21,20,1,Jonathan White,43,Female,Monthly,1,Pilates Core,Beginner,9,47:12.1,Gabrielle Davis,Strength,2,43,2100,Transfer
80,98,20,1,Matthew Smith,52,Female,Monthly,0,Pilates Core,Beginner,9,47:12.1,Gabrielle Davis,Strength,2,196,2100,Wallet
81,175,8,1,Katherine Davis,38,Male,Yearly,0,Pilates Core,Beginner,3,46:16.7,Angie Henderson,Cardio,5,358,800,Transfer
81,175,8,1,Katherine Davis,38,Male,Yearly,0,Pilates Core,Beginner,3,46:16.7,Angie Henderson,Cardio,5,359,800,Wallet
82,128,19,1,Jennifer Espinoza,36,Male,Quarterly,1,Cardio Blast,Beginner,7,45:46.1,Abigail Shaffer,Pilates,3,260,2100,Wallet
82,128,19,1,Jennifer Espinoza,36,Male,Quarterly,1,Cardio Blast,Beginner,7,45:46.1,Abigail Shaffer,Pilates,3,261,800,Card
83,37,8,1,Jeffrey Henderson,54,Male,Monthly,1,Pilates Core,Beginner,3,46:16.7,Angie Henderson,Cardio,5,72,2100,Transfer
84,119,9,1,Gabriel Juarez,42,Female,Quarterly,0,CrossFit WOD,Advanced,8,46:31.4,Gina Moore,Pilates,8,240,800,Cash
84,119,9,1,Gabriel Juarez,42,Female,Quarterly,0,CrossFit WOD,Advanced,8,46:31.4,Gina Moore,Pilates,8,241,800,Wallet
84,119,9,1,Gabriel Juarez,42,Female,Quarterly,0,CrossFit WOD,Advanced,8,46:31.4,Gina Moore,Pilates,8,242,2100,Transfer
85,118,9,1,Joel Williams,47,Female,Yearly,0,CrossFit WOD,Advanced,8,46:31.4,Gina Moore,Pilates,8,237,2100,Cash
85,118,9,1,Joel Williams,47,Female,Yearly,0,CrossFit WOD,Advanced,8,46:31.4,Gina Moore,Pilates,8,238,800,Transfer
85,118,9,1,Joel Williams,47,Female,Yearly,0,CrossFit WOD,Advanced,8,46:31.4,Gina Moore,Pilates,8,239,7500,Card
86,171,1,1,Brandon Hayden,33,Female,Yearly,1,Zumba Dance,Intermediate,5,46:07.4,Cristian Santos,Zumba,3,351,7500,Wallet
86,171,1,1,Brandon Hayden,33,Female,Yearly,1,Zumba Dance,Intermediate,5,46:07.4,Cristian Santos,Zumba,3,352,800,Cash
86,171,1,1,Brandon Hayden,33,Female,Yearly,1,Zumba Dance,Intermediate,5,46:07.4,Cristian Santos,Zumba,3,353,2100,Card
87,120,10,1,Sandra King,27,Male,Monthly,1,Cardio Blast,Beginner,10,47:12.1,Ryan Munoz,Strength,5,243,2100,Card
87,120,10,1,Sandra King,27,Male,Monthly,1,Cardio Blast,Beginner,10,47:12.1,Ryan Munoz,Strength,5,244,800,Transfer
87,120,10,1,Sandra King,27,Male,Monthly,1,Cardio Blast,Beginner,10,47:12.1,Ryan Munoz,Strength,5,245,2100,Card
88,174,18,1,Sydney White,34,Male,Monthly,0,Yoga Flow,Intermediate,5,42:33.4,Cristian Santos,Zumba,3,357,2100,Transfer
89,41,3,1,Thomas Ramos,43,Female,Quarterly,1,CrossFit WOD,Beginner,10,47:04.6,Ryan Munoz,Strength,5,79,800,Transfer
89,41,3,1,Thomas Ramos,43,Female,Quarterly,1,CrossFit WOD,Beginner,10,47:04.6,Ryan Munoz,Strength,5,80,800,Wallet
90,114,12,1,Daniel Graham,23,Female,Yearly,1,Yoga Flow,Intermediate,6,42:22.6,Connie Lawrence,Zumba,13,230,800,Cash
90,114,12,1,Daniel Graham,23,Female,Yearly,1,Yoga Flow,Intermediate,6,42:22.6,Connie Lawrence,Zumba,13,231,2100,Cash
90,114,12,1,Daniel Graham,23,Female,Yearly,1,Yoga Flow,Intermediate,6,42:22.6,Connie Lawrence,Zumba,13,232,2100,Transfer
91,151,10,1,William Tran,25,Male,Quarterly,0,Cardio Blast,Beginner,10,47:12.1,Ryan Munoz,Strength,5,313,7500,Card
92,164,14,1,Michael Bradshaw,49,Female,Monthly,1,Zumba Dance,Beginner,3,47:29.5,Angie Henderson,Cardio,5,332,7500,Transfer
92,164,14,1,Michael Bradshaw,49,Female,Monthly,1,Zumba Dance,Beginner,3,47:29.5,Angie Henderson,Cardio,5,333,800,Cash
93,177,9,1,Donna Landry,35,Female,Monthly,0,CrossFit WOD,Advanced,8,46:31.4,Gina Moore,Pilates,8,361,2100,Card
94,117,10,1,Justin Johnson,20,Male,Quarterly,0,Cardio Blast,Beginner,10,47:12.1,Ryan Munoz,Strength,5,236,7500,Card
95,51,13,1,Bryan Zamora,47,Male,Yearly,0,CrossFit WOD,Intermediate,6,45:45.2,Connie Lawrence,Zumba,13,96,7500,Wallet
95,51,13,1,Bryan Zamora,47,Male,Yearly,0,CrossFit WOD,Intermediate,6,45:45.2,Connie Lawrence,Zumba,13,97,2100,Wallet
